INSPECTION_DATE,BOROUGH,count
2010-01-31,Bronx,217
2010-01-31,Brooklyn,361
2010-01-31,Manhattan,717
2010-01-31,Queens,138
2010-01-31,Staten Island,27
2010-02-28,Bronx,272
2010-02-28,Brooklyn,222
2010-02-28,Manhattan,722
2010-02-28,Queens,91
2010-02-28,Staten Island,7
2010-03-31,Bronx,188
2010-03-31,Brooklyn,419
2010-03-31,Manhattan,1018
2010-03-31,Queens,218
2010-03-31,Staten Island,19
2010-04-30,Bronx,335
2010-04-30,Brooklyn,504
2010-04-30,Manhattan,1468
2010-04-30,Queens,309
2010-04-30,Staten Island,47
2010-05-31,Bronx,548
2010-05-31,Brooklyn,418
2010-05-31,Manhattan,616
2010-05-31,Queens,133
2010-05-31,Staten Island,33
2010-06-30,Bronx,472
2010-06-30,Brooklyn,388
2010-06-30,Manhattan,377
2010-06-30,Queens,148
2010-06-30,Staten Island,20
2010-07-31,Bronx,460
2010-07-31,Brooklyn,302
2010-07-31,Manhattan,418
2010-07-31,Queens,70
2010-07-31,Staten Island,22
2010-08-31,Bronx,586
2010-08-31,Brooklyn,283
2010-08-31,Manhattan,501
2010-08-31,Queens,76
2010-08-31,Staten Island,25
2010-09-30,Bronx,647
2010-09-30,Brooklyn,317
2010-09-30,Manhattan,391
2010-09-30,Queens,73
2010-09-30,Staten Island,29
2010-10-31,Bronx,452
2010-10-31,Brooklyn,342
2010-10-31,Manhattan,478
2010-10-31,Queens,84
2010-10-31,Staten Island,32
2010-11-30,Bronx,340
2010-11-30,Brooklyn,401
2010-11-30,Manhattan,485
2010-11-30,Queens,89
2010-11-30,Staten Island,16
2010-12-31,Bronx,415
2010-12-31,Brooklyn,291
2010-12-31,Manhattan,349
2010-12-31,Queens,60
2010-12-31,Staten Island,22
2011-01-31,Bronx,181
2011-01-31,Brooklyn,106
2011-01-31,Manhattan,110
2011-01-31,Queens,33
2011-01-31,Staten Island,1
2011-02-28,Bronx,325
2011-02-28,Brooklyn,319
2011-02-28,Manhattan,376
2011-02-28,Queens,37
2011-02-28,Staten Island,4
2011-03-31,Bronx,463
2011-03-31,Brooklyn,577
2011-03-31,Manhattan,948
2011-03-31,Queens,117
2011-03-31,Staten Island,27
2011-04-30,Bronx,304
2011-04-30,Brooklyn,442
2011-04-30,Manhattan,989
2011-04-30,Queens,104
2011-04-30,Staten Island,36
2011-05-31,Bronx,443
2011-05-31,Brooklyn,397
2011-05-31,Manhattan,771
2011-05-31,Queens,103
2011-05-31,Staten Island,20
2011-06-30,Bronx,703
2011-06-30,Brooklyn,515
2011-06-30,Manhattan,476
2011-06-30,Queens,101
2011-06-30,Staten Island,40
2011-07-31,Bronx,539
2011-07-31,Brooklyn,482
2011-07-31,Manhattan,306
2011-07-31,Queens,83
2011-07-31,Staten Island,32
2011-08-31,Bronx,496
2011-08-31,Brooklyn,528
2011-08-31,Manhattan,343
2011-08-31,Queens,90
2011-08-31,Staten Island,27
2011-09-30,Bronx,660
