ZIP_CODE,rest_count,avg_rat_sightings
10001,503,69.75
10002,516,400.5
10003,708,244.625
10004,151,10.714285714285714
10005,66,3.125
10006,44,11.375
10007,140,32.0
10009,303,388.25
10010,268,38.875
10011,476,142.25
10012,416,129.875
10013,517,173.125
10014,425,158.0
10016,426,74.75
10017,352,13.625
10018,375,26.0
10019,699,100.625
10021,153,60.0
10022,458,54.375
10023,199,106.5
10024,191,263.375
10025,232,356.375
10026,87,230.5
10027,170,307.375
10028,200,117.25
10029,217,327.75
10030,50,147.75
10031,118,348.125
10032,114,311.75
10033,119,263.0
10034,119,173.875
10035,89,183.125
10036,625,92.875
10037,33,47.375
10038,199,75.75
10039,36,53.875
10040,77,166.625
10044,12,3.0
10048,1,2.0
10065,178,38.5
10069,5,2.6666666666666665
10075,94,36.375
10128,153,196.0
10162,0,2.0
10280,9,4.285714285714286
10281,39,2.0
10282,18,4.0
10301,107,44.25
10302,70,24.125
10303,36,24.0
10304,63,29.25
10305,94,19.375
10306,108,21.375
10307,30,4.125
10308,56,5.625
10309,77,7.285714285714286
10310,58,15.125
10312,79,18.875
10314,177,30.625
10451,167,233.125
10452,101,509.375
10453,95,655.375
10454,81,125.75
10455,106,192.0
10456,87,814.875
10457,87,1128.125
10458,184,1028.5
10459,83,321.75
10460,75,387.875
10461,155,6.75
10462,153,103.0
10463,119,86.2
10464,38,1.0
10465,84,2.5
10466,94,15.125
10467,164,497.25
10468,106,699.25
10469,91,33.125
10470,43,6.875
10471,53,15.25
10472,110,309.0
10473,29,27.625
10474,36,92.5
10475,58,4.875
11001,2,2.0
11101,281,77.25
11102,89,10.625
11103,238,52.75
11104,105,16.75
11105,139,5.25
11106,166,28.625
11201,409,133.625
11203,138,42.75
11204,130,7.0
11205,154,246.0
11206,180,490.5
11207,139,126.25
11208,114,34.0
11209,267,4.125
11210,88,20.0
11211,376,256.375
11212,118,70.625
11213,106,200.625
11214,194,17.25
11215,345,152.125
11216,181,490.75
11217,291,281.75
11218,150,20.625
11219,113,12.714285714285714
11220,348,20.0
11221,131,710.125
11222,212,119.625
11223,188,10.125
11224,85,15.5
11225,136,128.625
11226,206,137.25
11228,57,3.0
11229,134,3.857142857142857
11230,113,10.0
11231,168,27.625
11232,120,20.0
11233,82,160.125
11234,153,6.625
11235,181,42.625
11236,117,13.0
11237,226,609.125
11238,250,313.125
11239,16,2.0
11249,160,54.6
11354,428,12.375
11355,206,17.25
11356,59,2.3333333333333335
11357,71,4.142857142857143
11358,155,2.142857142857143
11360,25,1.0
11361,130,10.333333333333334
11362,54,2.0
11363,12,2.0
11364,55,2.3333333333333335
11365,49,2.6
11366,59,1.5
11367,56,3.142857142857143
11368,313,79.25
11369,86,5.285714285714286
11370,28,5.25
11372,336,135.875
11373,228,57.125
11374,100,15.5
11375,203,13.0
11377,211,76.125
11378,83,13.75
11379,48,8.0
11385,287,256.625
11411,25,5.5
11412,50,5.428571428571429
11413,47,2.0
11414,53,3.0
11415,36,4.125
11416,40,2.75
11417,73,6.75
11418,96,12.875
11419,92,7.5
11420,108,9.75
11421,79,5.5
11422,39,2.6666666666666665
11423,32,9.333333333333334
11426,37,3.0
11427,20,2.0
11428,40,1.2
11429,23,3.625
11432,188,67.25
11433,31,29.375
11434,88,6.0
11435,107,61.25
11436,21,3.5
11691,47,5.428571428571429
11692,9,2.6
11693,39,1.0
11694,39,2.0
