ZIP_CODE,BOROUGH,INSPECTION_DATE,count,subway_count,rest_count
10001,Manhattan,2010,87,7,503
10001,Manhattan,2011,90,7,503
10001,Manhattan,2012,74,7,503
10001,Manhattan,2013,38,7,503
10001,Manhattan,2014,64,7,503
10001,Manhattan,2015,36,7,503
10001,Manhattan,2016,47,7,503
10001,Manhattan,2017,122,7,503
10002,Manhattan,2010,412,6,516
10002,Manhattan,2011,407,6,516
10002,Manhattan,2012,357,6,516
10002,Manhattan,2013,257,6,516
10002,Manhattan,2014,323,6,516
10002,Manhattan,2015,405,6,516
10002,Manhattan,2016,536,6,516
10002,Manhattan,2017,507,6,516
10003,Manhattan,2010,242,6,708
10003,Manhattan,2011,229,6,708
10003,Manhattan,2012,168,6,708
10003,Manhattan,2013,168,6,708
10003,Manhattan,2014,144,6,708
10003,Manhattan,2015,202,6,708
10003,Manhattan,2016,453,6,708
10003,Manhattan,2017,351,6,708
10004,Manhattan,2010,21,3,151
10004,Manhattan,2011,4,3,151
10004,Manhattan,2012,6,3,151
10004,Manhattan,2013,7,3,151
10004,Manhattan,2014,15,3,151
10004,Manhattan,2016,7,3,151
10004,Manhattan,2017,15,3,151
10005,Manhattan,2010,7,2,66
10005,Manhattan,2011,5,2,66
10005,Manhattan,2012,3,2,66
10005,Manhattan,2013,2,2,66
10005,Manhattan,2014,3,2,66
10005,Manhattan,2015,2,2,66
10005,Manhattan,2016,1,2,66
10005,Manhattan,2017,2,2,66
10006,Manhattan,2010,27,4,44
10006,Manhattan,2011,6,4,44
10006,Manhattan,2012,2,4,44
10006,Manhattan,2013,4,4,44
10006,Manhattan,2014,9,4,44
10006,Manhattan,2015,17,4,44
10006,Manhattan,2016,20,4,44
10006,Manhattan,2017,6,4,44
10007,Manhattan,2010,53,9,140
10007,Manhattan,2011,35,9,140
10007,Manhattan,2012,39,9,140
10007,Manhattan,2013,21,9,140
10007,Manhattan,2014,17,9,140
10007,Manhattan,2015,43,9,140
10007,Manhattan,2016,19,9,140
10007,Manhattan,2017,29,9,140
10009,Manhattan,2010,436,2,303
10009,Manhattan,2011,365,2,303
10009,Manhattan,2012,271,2,303
10009,Manhattan,2013,310,2,303
10009,Manhattan,2014,250,2,303
10009,Manhattan,2015,529,2,303
10009,Manhattan,2016,496,2,303
10009,Manhattan,2017,449,2,303
10010,Manhattan,2010,64,2,268
10010,Manhattan,2011,52,2,268
10010,Manhattan,2012,16,2,268
10010,Manhattan,2013,35,2,268
10010,Manhattan,2014,37,2,268
10010,Manhattan,2015,22,2,268
10010,Manhattan,2016,43,2,268
10010,Manhattan,2017,42,2,268
10011,Manhattan,2010,220,10,476
10011,Manhattan,2011,164,10,476
10011,Manhattan,2012,117,10,476
10011,Manhattan,2013,32,10,476
10011,Manhattan,2014,82,10,476
10011,Manhattan,2015,146,10,476
10011,Manhattan,2016,176,10,476
10011,Manhattan,2017,201,10,476
10012,Manhattan,2010,205,4,416
10012,Manhattan,2011,152,4,416
10012,Manhattan,2012,58,4,416
10012,Manhattan,2013,49,4,416
10012,Manhattan,2014,136,4,416
10012,Manhattan,2015,193,4,416
10012,Manhattan,2016,134,4,416
10012,Manhattan,2017,112,4,416
10013,Manhattan,2010,384,8,517
10013,Manhattan,2011,302,8,517
10013,Manhattan,2012,96,8,517
10013,Manhattan,2013,103,8,517
10013,Manhattan,2014,88,8,517
10013,Manhattan,2015,152,8,517
10013,Manhattan,2016,127,8,517
10013,Manhattan,2017,133,8,517
10014,Manhattan,2010,380,2,425
10014,Manhattan,2011,165,2,425
10014,Manhattan,2012,129,2,425
10014,Manhattan,2013,71,2,425
10014,Manhattan,2014,70,2,425
10014,Manhattan,2015,49,2,425
10014,Manhattan,2016,245,2,425
10014,Manhattan,2017,155,2,425
10016,Manhattan,2010,127,2,426
10016,Manhattan,2011,75,2,426
10016,Manhattan,2012,89,2,426
10016,Manhattan,2013,93,2,426
10016,Manhattan,2014,37,2,426
10016,Manhattan,2015,33,2,426
10016,Manhattan,2016,72,2,426
10016,Manhattan,2017,72,2,426
10017,Manhattan,2010,29,3,352
10017,Manhattan,2011,17,3,352
10017,Manhattan,2012,11,3,352
10017,Manhattan,2013,7,3,352
10017,Manhattan,2014,1,3,352
10017,Manhattan,2015,4,3,352
10017,Manhattan,2016,19,3,352
10017,Manhattan,2017,21,3,352
10018,Manhattan,2010,72,2,375
10018,Manhattan,2011,23,2,375
10018,Manhattan,2012,28,2,375
10018,Manhattan,2013,6,2,375
10018,Manhattan,2014,11,2,375
10018,Manhattan,2015,9,2,375
10018,Manhattan,2016,14,2,375
10018,Manhattan,2017,45,2,375
10019,Manhattan,2010,193,8,699
10019,Manhattan,2011,102,8,699
10019,Manhattan,2012,92,8,699
10019,Manhattan,2013,62,8,699
10019,Manhattan,2014,54,8,699
10019,Manhattan,2015,43,8,699
10019,Manhattan,2016,104,8,699
10019,Manhattan,2017,155,8,699
10021,Manhattan,2010,105,1,153
10021,Manhattan,2011,97,1,153
10021,Manhattan,2012,69,1,153
10021,Manhattan,2013,38,1,153
10021,Manhattan,2014,15,1,153
10021,Manhattan,2015,18,1,153
10021,Manhattan,2016,47,1,153
10021,Manhattan,2017,91,1,153
10022,Manhattan,2010,65,5,458
10022,Manhattan,2011,30,5,458
10022,Manhattan,2012,38,5,458
10022,Manhattan,2013,20,5,458
10022,Manhattan,2014,37,5,458
10022,Manhattan,2015,78,5,458
10022,Manhattan,2016,108,5,458
10022,Manhattan,2017,59,5,458
10023,Manhattan,2010,154,3,199
10023,Manhattan,2011,99,3,199
10023,Manhattan,2012,134,3,199
10023,Manhattan,2013,113,3,199
10023,Manhattan,2014,87,3,199
10023,Manhattan,2015,32,3,199
10023,Manhattan,2016,73,3,199
10023,Manhattan,2017,160,3,199
10024,Manhattan,2010,306,4,191
10024,Manhattan,2011,158,4,191
10024,Manhattan,2012,234,4,191
10024,Manhattan,2013,223,4,191
10024,Manhattan,2014,220,4,191
10024,Manhattan,2015,161,4,191
10024,Manhattan,2016,336,4,191
10024,Manhattan,2017,469,4,191
10025,Manhattan,2010,297,5,232
10025,Manhattan,2011,247,5,232
10025,Manhattan,2012,254,5,232
10025,Manhattan,2013,279,5,232
10025,Manhattan,2014,290,5,232
10025,Manhattan,2015,360,5,232
10025,Manhattan,2016,466,5,232
10025,Manhattan,2017,658,5,232
10026,Manhattan,2010,246,3,87
10026,Manhattan,2011,162,3,87
10026,Manhattan,2012,179,3,87
10026,Manhattan,2013,207,3,87
10026,Manhattan,2014,188,3,87
10026,Manhattan,2015,202,3,87
10026,Manhattan,2016,257,3,87
10026,Manhattan,2017,403,3,87
10027,Manhattan,2010,312,4,170
10027,Manhattan,2011,275,4,170
10027,Manhattan,2012,312,4,170
10027,Manhattan,2013,281,4,170
10027,Manhattan,2014,336,4,170
10027,Manhattan,2015,239,4,170
10027,Manhattan,2016,335,4,170
10027,Manhattan,2017,369,4,170
10028,Manhattan,2010,134,2,200
10028,Manhattan,2011,58,2,200
10028,Manhattan,2012,35,2,200
10028,Manhattan,2013,60,2,200
10028,Manhattan,2014,63,2,200
10028,Manhattan,2015,85,2,200
10028,Manhattan,2016,242,2,200
10028,Manhattan,2017,261,2,200
10029,Manhattan,2010,368,3,217
10029,Manhattan,2011,224,3,217
10029,Manhattan,2012,251,3,217
10029,Manhattan,2013,229,3,217
10029,Manhattan,2014,146,3,217
10029,Manhattan,2015,535,3,217
10029,Manhattan,2016,475,3,217
10029,Manhattan,2017,394,3,217
10030,Manhattan,2010,152,0,50
10030,Manhattan,2011,129,0,50
10030,Manhattan,2012,181,0,50
10030,Manhattan,2013,104,0,50
10030,Manhattan,2014,62,0,50
10030,Manhattan,2015,106,0,50
10030,Manhattan,2016,158,0,50
10030,Manhattan,2017,290,0,50
10031,Manhattan,2010,482,3,118
10031,Manhattan,2011,367,3,118
10031,Manhattan,2012,389,3,118
10031,Manhattan,2013,295,3,118
10031,Manhattan,2014,226,3,118
10031,Manhattan,2015,163,3,118
10031,Manhattan,2016,408,3,118
10031,Manhattan,2017,455,3,118
10032,Manhattan,2010,413,6,114
10032,Manhattan,2011,346,6,114
10032,Manhattan,2012,412,6,114
10032,Manhattan,2013,288,6,114
10032,Manhattan,2014,371,6,114
10032,Manhattan,2015,171,6,114
10032,Manhattan,2016,254,6,114
10032,Manhattan,2017,239,6,114
10033,Manhattan,2010,246,3,119
10033,Manhattan,2011,209,3,119
10033,Manhattan,2012,172,3,119
10033,Manhattan,2013,388,3,119
10033,Manhattan,2014,387,3,119
10033,Manhattan,2015,189,3,119
10033,Manhattan,2016,260,3,119
10033,Manhattan,2017,253,3,119
10034,Manhattan,2010,169,4,119
10034,Manhattan,2011,119,4,119
10034,Manhattan,2012,122,4,119
10034,Manhattan,2013,175,4,119
10034,Manhattan,2014,165,4,119
10034,Manhattan,2015,127,4,119
10034,Manhattan,2016,160,4,119
10034,Manhattan,2017,354,4,119
10035,Manhattan,2010,197,1,89
10035,Manhattan,2011,148,1,89
10035,Manhattan,2012,202,1,89
10035,Manhattan,2013,250,1,89
10035,Manhattan,2014,67,1,89
10035,Manhattan,2015,109,1,89
10035,Manhattan,2016,253,1,89
10035,Manhattan,2017,239,1,89
10036,Manhattan,2010,139,7,625
10036,Manhattan,2011,96,7,625
10036,Manhattan,2012,81,7,625
10036,Manhattan,2013,58,7,625
10036,Manhattan,2014,50,7,625
10036,Manhattan,2015,52,7,625
10036,Manhattan,2016,127,7,625
10036,Manhattan,2017,140,7,625
10037,Manhattan,2010,62,1,33
10037,Manhattan,2011,31,1,33
10037,Manhattan,2012,47,1,33
10037,Manhattan,2013,52,1,33
10037,Manhattan,2014,24,1,33
10037,Manhattan,2015,21,1,33
10037,Manhattan,2016,44,1,33
10037,Manhattan,2017,98,1,33
10038,Manhattan,2010,108,3,199
10038,Manhattan,2011,115,3,199
10038,Manhattan,2012,33,3,199
10038,Manhattan,2013,46,3,199
10038,Manhattan,2014,60,3,199
10038,Manhattan,2015,48,3,199
10038,Manhattan,2016,114,3,199
