INSPECTION_DATE,ZIP_CODE,BOROUGH,count,diff
2011,10001,Manhattan,90,3.0
2012,10001,Manhattan,74,-16.0
2013,10001,Manhattan,38,-36.0
2014,10001,Manhattan,64,26.0
2015,10001,Manhattan,36,-28.0
2016,10001,Manhattan,47,11.0
2017,10001,Manhattan,122,75.0
2011,10002,Manhattan,407,-5.0
2012,10002,Manhattan,357,-50.0
2013,10002,Manhattan,257,-100.0
2014,10002,Manhattan,323,66.0
2015,10002,Manhattan,405,82.0
2016,10002,Manhattan,536,131.0
2017,10002,Manhattan,507,-29.0
2011,10003,Manhattan,229,-13.0
2012,10003,Manhattan,168,-61.0
2013,10003,Manhattan,168,0.0
2014,10003,Manhattan,144,-24.0
2015,10003,Manhattan,202,58.0
2016,10003,Manhattan,453,251.0
2017,10003,Manhattan,351,-102.0
2011,10005,Manhattan,5,-2.0
2012,10005,Manhattan,3,-2.0
2013,10005,Manhattan,2,-1.0
2014,10005,Manhattan,3,1.0
2015,10005,Manhattan,2,-1.0
2016,10005,Manhattan,1,-1.0
2017,10005,Manhattan,2,1.0
2011,10006,Manhattan,6,-21.0
2012,10006,Manhattan,2,-4.0
2013,10006,Manhattan,4,2.0
2014,10006,Manhattan,9,5.0
2015,10006,Manhattan,17,8.0
2016,10006,Manhattan,20,3.0
2017,10006,Manhattan,6,-14.0
2011,10007,Manhattan,35,-18.0
2012,10007,Manhattan,39,4.0
2013,10007,Manhattan,21,-18.0
2014,10007,Manhattan,17,-4.0
2015,10007,Manhattan,43,26.0
2016,10007,Manhattan,19,-24.0
2017,10007,Manhattan,29,10.0
2011,10009,Manhattan,365,-71.0
2012,10009,Manhattan,271,-94.0
2013,10009,Manhattan,310,39.0
2014,10009,Manhattan,250,-60.0
2015,10009,Manhattan,529,279.0
2016,10009,Manhattan,496,-33.0
2017,10009,Manhattan,449,-47.0
2011,10010,Manhattan,52,-12.0
2012,10010,Manhattan,16,-36.0
2013,10010,Manhattan,35,19.0
2014,10010,Manhattan,37,2.0
2015,10010,Manhattan,22,-15.0
2016,10010,Manhattan,43,21.0
2017,10010,Manhattan,42,-1.0
2011,10011,Manhattan,164,-56.0
2012,10011,Manhattan,117,-47.0
2013,10011,Manhattan,32,-85.0
2014,10011,Manhattan,82,50.0
2015,10011,Manhattan,146,64.0
2016,10011,Manhattan,176,30.0
2017,10011,Manhattan,201,25.0
2011,10012,Manhattan,152,-53.0
2012,10012,Manhattan,58,-94.0
2013,10012,Manhattan,49,-9.0
2014,10012,Manhattan,136,87.0
2015,10012,Manhattan,193,57.0
2016,10012,Manhattan,134,-59.0
2017,10012,Manhattan,112,-22.0
2011,10013,Manhattan,302,-82.0
2012,10013,Manhattan,96,-206.0
2013,10013,Manhattan,103,7.0
2014,10013,Manhattan,88,-15.0
2015,10013,Manhattan,152,64.0
2016,10013,Manhattan,127,-25.0
2017,10013,Manhattan,133,6.0
2011,10014,Manhattan,165,-215.0
2012,10014,Manhattan,129,-36.0
2013,10014,Manhattan,71,-58.0
2014,10014,Manhattan,70,-1.0
2015,10014,Manhattan,49,-21.0
2016,10014,Manhattan,245,196.0
2017,10014,Manhattan,155,-90.0
2011,10016,Manhattan,75,-52.0
2012,10016,Manhattan,89,14.0
2013,10016,Manhattan,93,4.0
2014,10016,Manhattan,37,-56.0
2015,10016,Manhattan,33,-4.0
2016,10016,Manhattan,72,39.0
2017,10016,Manhattan,72,0.0
2011,10017,Manhattan,17,-12.0
2012,10017,Manhattan,11,-6.0
2013,10017,Manhattan,7,-4.0
2014,10017,Manhattan,1,-6.0
2015,10017,Manhattan,4,3.0
2016,10017,Manhattan,19,15.0
2017,10017,Manhattan,21,2.0
2011,10018,Manhattan,23,-49.0
2012,10018,Manhattan,28,5.0
2013,10018,Manhattan,6,-22.0
2014,10018,Manhattan,11,5.0
2015,10018,Manhattan,9,-2.0
2016,10018,Manhattan,14,5.0
2017,10018,Manhattan,45,31.0
2011,10019,Manhattan,102,-91.0
2012,10019,Manhattan,92,-10.0
2013,10019,Manhattan,62,-30.0
2014,10019,Manhattan,54,-8.0
2015,10019,Manhattan,43,-11.0
2016,10019,Manhattan,104,61.0
2017,10019,Manhattan,155,51.0
2011,10021,Manhattan,97,-8.0
2012,10021,Manhattan,69,-28.0
2013,10021,Manhattan,38,-31.0
2014,10021,Manhattan,15,-23.0
2015,10021,Manhattan,18,3.0
2016,10021,Manhattan,47,29.0
2017,10021,Manhattan,91,44.0
2011,10022,Manhattan,30,-35.0
2012,10022,Manhattan,38,8.0
2013,10022,Manhattan,20,-18.0
2014,10022,Manhattan,37,17.0
2015,10022,Manhattan,78,41.0
2016,10022,Manhattan,108,30.0
2017,10022,Manhattan,59,-49.0
2011,10023,Manhattan,99,-55.0
2012,10023,Manhattan,134,35.0
2013,10023,Manhattan,113,-21.0
2014,10023,Manhattan,87,-26.0
2015,10023,Manhattan,32,-55.0
2016,10023,Manhattan,73,41.0
2017,10023,Manhattan,160,87.0
2011,10024,Manhattan,158,-148.0
2012,10024,Manhattan,234,76.0
2013,10024,Manhattan,223,-11.0
2014,10024,Manhattan,220,-3.0
2015,10024,Manhattan,161,-59.0
2016,10024,Manhattan,336,175.0
2017,10024,Manhattan,469,133.0
2011,10025,Manhattan,247,-50.0
2012,10025,Manhattan,254,7.0
2013,10025,Manhattan,279,25.0
2014,10025,Manhattan,290,11.0
2015,10025,Manhattan,360,70.0
2016,10025,Manhattan,466,106.0
2017,10025,Manhattan,658,192.0
2011,10026,Manhattan,162,-84.0
2012,10026,Manhattan,179,17.0
2013,10026,Manhattan,207,28.0
2014,10026,Manhattan,188,-19.0
2015,10026,Manhattan,202,14.0
2016,10026,Manhattan,257,55.0
2017,10026,Manhattan,403,146.0
2011,10027,Manhattan,275,-37.0
2012,10027,Manhattan,312,37.0
2013,10027,Manhattan,281,-31.0
2014,10027,Manhattan,336,55.0
2015,10027,Manhattan,239,-97.0
2016,10027,Manhattan,335,96.0
2017,10027,Manhattan,369,34.0
